User;Activity;realtime;ElapsedRealTime;ElapsedRealTimeFromStart;DateTime;Sample Number;ACC X (g);ACC Y (g);ACC Z (g);GYRO X (dps);GYRO Y (dps);GYRO Z (dps);MAGN X (mGs);MAGN Y (mGs);MAGN Z (mGs);ROLL (°);PITCH (°);YAW (°);PRESSURE (Pa);ADHERENCE (on/off);BLUE BAD (?);BLUE GOOD (?);Y (?);X (?);HUMIDITY (%);TEMP (°C);UV A (W/m^2);UV B (W/m^2);UserRealmObject Feedback Tags
2;1;5926;6495;66;;64303553;0.117;-0.992;0.083;6.6;-26.9;14.6;-1408;255.5;-280.5;0.3;-14.2;252.8;101953;0;1;1;20;20;24.2;41.08;0.1905;0.005964;
2;1;5927;6496;66;;64303553;0.126;-0.952;0.08;7.6;-27.1;14.1;-1406.5;255.5;-279;0.2;-13.8;252.2;101953;0;1;1;20;20;24.2;41.08;0.1905;0.005964;
2;1;5928;6497;66;;64303553;0.125;-0.916;0.074;6.5;-27.1;12.6;-1415.5;260;-271.5;0.2;-13.4;251.8;101953;0;1;1;20;20;24.2;41.08;0.1905;0.005964;
2;1;5929;6498;66;;64303554;0.116;-0.874;0.069;5.4;-25.7;12.5;-1412.5;263;-270;0.2;-13.1;251.4;101953;0;1;1;20;20;24.2;41.08;0.1905;0.005964;
2;1;5930;6499;66;;64303554;0.112;-0.845;0.073;6.5;-24.1;13.5;-1412.5;254;-267;0.1;-12.8;250.9;101953;0;1;1;20;20;24.2;41.08;0.1905;0.005964;
2;1;5931;6500;66;;64303554;0.105;-0.82;0.08;7.9;-22.2;15.2;-1412.5;263;-264;0.1;-12.6;250.5;101948;0;1;1;21;21;24.2;41.08;0.1905;0.003408;
2;1;5932;6501;66;;64303555;0.088;-0.808;0.079;7.7;-21.2;16.8;-1402;255.5;-270;0.1;-12.2;250;101948;0;1;1;21;21;24.2;41.08;0.1905;0.003408;
2;1;5933;6502;66;;64303555;0.07;-0.772;0.076;5.9;-20.7;19.3;-1403.5;252.5;-273;0.1;-11.9;249.7;101948;0;1;1;21;21;24.2;41.08;0.1905;0.003408;
2;1;5934;6503;66;;64303555;0.065;-0.757;0.077;4.2;-20.4;21.9;-1408;248;-256.5;0.1;-11.5;249.3;101948;0;1;1;21;21;24.2;41.08;0.1905;0.003408;
2;1;5935;6504;66;;64303555;0.07;-0.785;0.076;4.1;-19.2;23.4;-1409.5;249.5;-261;0.1;-11.1;248.9;101951;0;1;1;21;21;24.26;41.04;0.127;0.002556;
2;1;5936;6505;66;;64303556;0.072;-0.807;0.077;5.1;-17.3;23;-1408;255.5;-258;0;-10.7;248.7;101951;0;1;1;21;21;24.26;41.04;0.127;0.002556;
2;1;5937;6506;66;;64303557;0.073;-0.822;0.083;5.8;-15.7;20.9;-1402;251;-265.5;0;-10.2;248.3;101951;0;1;1;21;21;24.26;41.04;0.127;0.002556;
2;1;5938;6507;66;;64303557;0.064;-0.839;0.091;6.1;-14.5;17.9;-1400.5;252.5;-267;0;-9.8;248.1;101951;0;1;1;21;21;24.26;41.04;0.127;0.002556;
2;1;5939;6508;66;;64303558;0.058;-0.866;0.091;5.8;-13.6;15;-1397.5;245;-261;0;-9.5;247.8;101951;0;1;1;21;21;24.26;41.04;0.127;0.002556;
2;1;5940;6509;66;;64303558;0.065;-0.922;0.094;1.5;-13;11.6;-1394.5;248;-262.5;0;-9.2;247.6;101951;0;1;1;21;21;24.26;41.04;0.127;0.002556;
2;1;5941;6510;67;;64303860;0.068;-0.944;0.098;0.7;-11;9.3;-1394.5;246.5;-262.5;0;-8.9;247.5;101947;0;1;1;21;21;24.26;41.04;0.1905;0.00426;
2;1;5942;6511;67;;64303861;0.061;-0.971;0.099;0.3;-8.4;8;-1397.5;245;-262.5;0;-8.7;247.3;101947;0;1;1;21;21;24.26;41.04;0.1905;0.00426;
2;1;5943;6512;67;;64303861;0.048;-0.966;0.102;-0.9;-6;7.8;-1394.5;249.5;-261;0;-8.5;247.2;101947;0;1;1;21;21;24.26;41.04;0.1905;0.00426;
2;1;5944;6513;67;;64303862;0.031;-0.944;0.1;-2;-3.9;9.1;-1390;249.5;-258;0.1;-8.3;247.1;101947;0;1;1;21;21;24.26;41.04;0.1905;0.00426;
2;1;5945;6514;67;;64303862;0.032;-0.999;0.103;-3.4;-2.5;10.5;-1400.5;245;-256.5;0.2;-8.1;247.1;101947;0;1;1;21;21;24.26;41.04;0.1905;0.00426;
2;1;5946;6515;67;;64303863;0.039;-1.045;0.105;-3.8;-1.9;9.5;-1393;245;-264;0.2;-8;247.1;101948;0;1;1;21;21;24.26;41.05;0;0.00426;
2;1;5947;6516;67;;64303863;0.046;-1.079;0.109;-3.3;-1.3;7;-1397.5;237.5;-265.5;0;-7.5;247.2;101948;0;1;1;21;21;24.26;41.05;0;0.00426;
2;1;5948;6517;67;;64303864;0.053;-1.093;0.108;-1.8;-0.8;2.9;-1391.5;243.5;-262.5;0.1;-7.4;247.3;101948;0;1;1;21;21;24.26;41.05;0;0.00426;
2;1;5949;6518;67;;64303865;0.06;-1.12;0.105;-0.9;-0.5;-2.2;-1391.5;248;-265.5;0.1;-7.4;247.3;101948;0;1;1;21;21;24.26;41.05;0;0.00426;
2;1;5950;6519;67;;64303865;0.078;-1.196;0.107;-1.2;-1;-10.2;-1387;242;-265.5;0.2;-7.5;247.4;101947;0;1;1;21;21;24.26;41.05;0.0635;0.003408;
